artist_name,track_name,track_id,album_id,artist_id,track_popularity,artist_popularity,artist_genre,duration_ms,release_date,release_date_precision
Tito Torbellino Jr,El Vago De Los Nike,3MdhvQ8BprBhd4lYlgtPt2,7obSSQZvfcaXki0vc6U847,0dXXFVCw0LKzmHFrTLUaQJ,76,62,"['corrido', 'musica mexicana', 'nueva musica mexicana']",176208,2021-08-19,day
Incognito,Still A Friend Of Mine,3FLibhlx6qnF807b9GoQIo,1gcxfIY8oeRYr203cTsjVP,5moJNCJeiNwuQAhDLJXULs,16,47,"['brit funk', 'modern funk']",337080,2021-11-19,day
Conjunto Rienda Real,Nadie Va A Pensar En Ti Mejor Que Yo,30eHHpkjMNqb2F0V8nXjbJ,1NsJ6u8jcjsyZi9igmkbqw,5N3AyFVEE8vJa7AZEl7nD3,74,57,[],172018,2021-10-22,day
Incognito,I Hear Your Name,7fD1USx9hdQWMQlJSbyDVC,1gcxfIY8oeRYr203cTsjVP,5moJNCJeiNwuQAhDLJXULs,16,47,"['brit funk', 'modern funk']",413226,2021-11-19,day
Laura Les,Haunted,1toNKayLMeCcVlsLGXJl7n,2iguPTaSTwtx4MiAkj6w5O,3sklFG9fuDAq3vbIZlkNH6,73,59,"['glitchcore', 'hyperpop', 'proto-hyperpop', 'transpop']",102007,2021-03-12,day
Incognito,A Shade Of Blue,41umkmGzinIZKvPreMXjuy,1gcxfIY8oeRYr203cTsjVP,5moJNCJeiNwuQAhDLJXULs,14,47,"['brit funk', 'modern funk']",346093,2021-11-19,day
Sleepy Hallow,Basketball Dreams (Intro),0TYq1cxJXPGGjO0bYHDH2L,38nZLvJx8A9p4YYpTG5iFP,6EPlBSH2RSiettczlz7ihV,72,77,"['brooklyn drill', 'nyc rap']",91923,2021-06-02,day
Incognito,Everyday,2NgWsGPFYG7M30NrdaZuq6,1gcxfIY8oeRYr203cTsjVP,5moJNCJeiNwuQAhDLJXULs,15,47,"['brit funk', 'modern funk']",289426,2021-11-19,day
Coldplay,My Universe,46HNZY1i7O6jwTA7Slo2PI,06mXfvDsRZNfnsGZvX2zpb,4gzpq5DPGxSnKTe4SA8HAU,83,86,"['permanent wave', 'pop']",226198,2021-10-15,day
Incognito,Givin' It Up - Roger Sanchez Uplifting Edit / Extended,5P0mL5CWiFW2k6JR0kIZ7W,1gcxfIY8oeRYr203cTsjVP,5moJNCJeiNwuQAhDLJXULs,14,47,"['brit funk', 'modern funk']",280080,2021-11-19,day
